
LOC106050105	XP_013064065.2
LOC106050106	XP_055896789.1
LOC106050106	XP_055896790.1
LOC106050106	XP_055896791.1
LOC106050106	XP_055896792.1
LOC106050106	XP_055896793.1
LOC106050106	XP_055896794.1
LOC106050106	XP_055896795.1
LOC106050106	XP_055896796.1
LOC106050106	XP_055896797.1
LOC106050106	XP_055896798.1
LOC106050106	XP_055896799.1
LOC106050106	XP_055896800.1
LOC106050106	XP_055896801.1
LOC106050106	XP_055896802.1
LOC106050106	XP_055896803.1
LOC106050106	XP_055896804.1
LOC106050106	XP_055896805.1
LOC106050108	XP_055861649.1
LOC106050118	XP_055881571.1
LOC106050118	XP_055881572.1
LOC106050119	XP_055883849.1
LOC106050120	XP_013060509.2
LOC106050121	XP_055881567.1
LOC106050121	XP_055881568.1
LOC106050121	XP_055881569.1
LOC106050123	XP_013060514.2
LOC106050123	XP_013060517.2
LOC106050123	XP_013060519.2
LOC106050123	XP_013060520.2
LOC106050123	XP_055881570.1
LOC106050124	XP_013060522.1
LOC106050125	XP_013060524.2
LOC106050125	XP_055881350.1
LOC106050125	XP_055881351.1
LOC106050125	XP_055881352.1
LOC106050125	XP_055881353.1
LOC106050128	XP_013060525.2
LOC106050128	XP_013060526.2
LOC106050129	XP_013060527.2
LOC106050132	XP_055898300.1
LOC106050132	XP_055898301.1
LOC106050132	XP_055898302.1
LOC106050134	XP_055890308.1
LOC106050139	XP_055878209.1
LOC106050139	XP_055878210.1
LOC106050140	XP_013060538.2
LOC106050141	XP_013060539.2
LOC106050142	XP_013060540.1
LOC106050144	XP_013060542.2
LOC106050144	XP_055878212.1
LOC106050144	XP_055878213.1
LOC106050147	XP_055878202.1
LOC106050147	XP_055878203.1
LOC106050147	XP_055878204.1
LOC106050147	XP_055878205.1
LOC106050148	XP_013060546.2
LOC106050148	XP_013060547.2
LOC106050149	XP_013060548.2
LOC106050149	XP_013060549.2
LOC106050150	XP_013060551.1
LOC106050150	XP_055878206.1
LOC106050150	XP_055878207.1
LOC106050153	XP_055864862.1
LOC106050153	XP_055864863.1
LOC106050154	XP_055870243.1
LOC106050156	XP_055875094.1
LOC106050156	XP_055875095.1
LOC106050156	XP_055875096.1
LOC106050159	XP_055898295.1
LOC106050160	XP_055873302.1
LOC106050161	XP_055868741.1
LOC106050162	XP_055879889.1
LOC106050162	XP_055879890.1
LOC106050162	XP_055879891.1
LOC106050162	XP_055879892.1
LOC106050162	XP_055879893.1
LOC106050163	XP_013060563.1
LOC106050165	XP_055870845.1
LOC106050166	XP_055895391.1
LOC106050166	XP_055895392.1
LOC106050166	XP_055895393.1
LOC106050166	XP_055895394.1
LOC106050167	XP_055860497.1
LOC106050167	XP_055860498.1
LOC106050169	XP_013060569.2
LOC106050169	XP_055870074.1
LOC106050171	XP_013060571.2
LOC106050172	XP_055870193.1
LOC106050172	XP_055870194.1
LOC106050172	XP_055870195.1
LOC106050172	XP_055870196.1
LOC106050175	XP_055870261.1
LOC106050176	XP_055869498.1
LOC106050176	XP_055869499.1
LOC106050176	XP_055869500.1
LOC106050177	XP_013060574.2
LOC106050177	XP_013060575.2
LOC106050177	XP_013060576.2
LOC106050177	XP_055869501.1
LOC106050179	XP_013060579.2
LOC106050180	XP_013060580.2
LOC106050180	XP_013060582.2
LOC106050180	XP_055869473.1
LOC106050181	XP_013060583.2
LOC106050182	XP_055870575.1
LOC106050182	XP_055870576.1
LOC106050182	XP_055870577.1
LOC106050183	XP_055869926.1
LOC106050183	XP_055869927.1
LOC106050183	XP_055869930.1
LOC106050183	XP_055869931.1
LOC106050184	XP_055884838.1
LOC106050185	XP_013060586.2
LOC106050185	XP_013060587.2
LOC106050186	XP_055876003.1
LOC106050188	XP_055866412.1
