WindowID	Chr	Start	End	First_Gene	Last_Gene	N_Genes	N_genes_TMHMM	N_Genes_Single_TMHMM	Per_genes_TMHMM	Per_Genes_Single_TMHMM	Warning_Truncated_Window	Annot_source
1	CM074202.1	1	2000000	BgiMline_000001	BgiMline_000075	66	13	4	19.7%	6.1%	.	iM_Zhong
2	CM074202.1	500001	2500000	BgiMline_000016	BgiMline_000097	73	12	4	16.4%	5.5%	.	iM_Zhong
3	CM074202.1	1000001	3000000	BgiMline_000037	BgiMline_000110	63	10	3	15.9%	4.8%	.	iM_Zhong
4	CM074202.1	1500001	3500000	BgiMline_000056	BgiMline_000133	68	10	3	14.7%	4.4%	.	iM_Zhong
5	CM074202.1	2000001	4000000	BgiMline_000076	BgiMline_000147	65	9	3	13.8%	4.6%	.	iM_Zhong
6	CM074202.1	2500001	4500000	BgiMline_000098	BgiMline_000166	63	17	4	27%	6.3%	.	iM_Zhong
7	CM074202.1	3000001	5000000	BgiMline_000111	BgiMline_000183	66	19	5	28.8%	7.6%	.	iM_Zhong
8	CM074202.1	3500001	5500000	BgiMline_000133	BgiMline_000199	59	19	5	32.2%	8.5%	.	iM_Zhong
9	CM074202.1	4000001	6000000	BgiMline_000150	BgiMline_000227	71	22	8	31%	11.3%	.	iM_Zhong
10	CM074202.1	4500001	6500000	BgiMline_000167	BgiMline_000251	76	16	7	21.1%	9.2%	.	iM_Zhong
11	CM074202.1	5000001	7000000	BgiMline_000184	BgiMline_000273	83	12	5	14.5%	6%	.	iM_Zhong
12	CM074202.1	5500001	7500000	BgiMline_000199	BgiMline_000295	92	14	6	15.2%	6.5%	.	iM_Zhong
13	CM074202.1	6000001	8000000	BgiMline_000229	BgiMline_000313	81	12	3	14.8%	3.7%	.	iM_Zhong
14	CM074202.1	6500001	8500000	BgiMline_000251	BgiMline_000337	84	18	4	21.4%	4.8%	.	iM_Zhong
15	CM074202.1	7000001	9000000	BgiMline_000274	BgiMline_000353	78	17	4	21.8%	5.1%	.	iM_Zhong
16	CM074202.1	7500001	9500000	BgiMline_000296	BgiMline_000373	75	15	3	20%	4%	.	iM_Zhong
17	CM074202.1	8000001	10000000	BgiMline_000314	BgiMline_000392	76	16	3	21.1%	3.9%	.	iM_Zhong
18	CM074202.1	8500001	10500000	BgiMline_000338	BgiMline_000412	69	12	4	17.4%	5.8%	.	iM_Zhong
19	CM074202.1	9000001	11000000	BgiMline_000354	BgiMline_000438	78	22	8	28.2%	10.3%	.	iM_Zhong
20	CM074202.1	9500001	11500000	BgiMline_000374	BgiMline_000459	75	22	9	29.3%	12%	.	iM_Zhong
21	CM074202.1	10000001	12000000	BgiMline_000392	BgiMline_000481	79	24	10	30.4%	12.7%	.	iM_Zhong
22	CM074202.1	10500001	12500000	BgiMline_000413	BgiMline_000512	90	23	11	25.6%	12.2%	.	iM_Zhong
23	CM074202.1	11000001	13000000	BgiMline_000438	BgiMline_000538	88	12	6	13.6%	6.8%	.	iM_Zhong
24	CM074202.1	11500001	13500000	BgiMline_000460	BgiMline_000565	95	14	5	14.7%	5.3%	.	iM_Zhong
25	CM074202.1	12000001	14000000	BgiMline_000482	BgiMline_000589	96	15	7	15.6%	7.3%	.	iM_Zhong
26	CM074202.1	12500001	14500000	BgiMline_000512	BgiMline_000612	90	20	6	22.2%	6.7%	.	iM_Zhong
27	CM074202.1	13000001	15000000	BgiMline_000539	BgiMline_000637	91	25	11	27.5%	12.1%	.	iM_Zhong
28	CM074202.1	13500001	15500000	BgiMline_000566	BgiMline_000665	94	32	12	34%	12.8%	.	iM_Zhong
29	CM074202.1	14000001	16000000	BgiMline_000590	BgiMline_000683	91	28	9	30.8%	9.9%	.	iM_Zhong
30	CM074202.1	14500001	16500000	BgiMline_000612	BgiMline_000701	84	22	9	26.2%	10.7%	.	iM_Zhong
31	CM074202.1	15000001	17000000	BgiMline_000638	BgiMline_000717	74	17	4	23%	5.4%	.	iM_Zhong
32	CM074202.1	15500001	17500000	BgiMline_000666	BgiMline_000743	71	9	4	12.7%	5.6%	.	iM_Zhong
33	CM074202.1	16000001	18000000	BgiMline_000685	BgiMline_000761	71	10	5	14.1%	7%	.	iM_Zhong
34	CM074202.1	16500001	18500000	BgiMline_000702	BgiMline_000787	83	12	6	14.5%	7.2%	.	iM_Zhong
35	CM074202.1	17000001	19000000	BgiMline_000719	BgiMline_000806	84	17	10	20.2%	11.9%	.	iM_Zhong
36	CM074202.1	17500001	19500000	BgiMline_000744	BgiMline_000823	76	18	11	23.7%	14.5%	.	iM_Zhong
37	CM074202.1	18000001	20000000	BgiMline_000761	BgiMline_000853	81	17	11	21%	13.6%	.	iM_Zhong
38	CM074202.1	18500001	20500000	BgiMline_000788	BgiMline_000873	73	13	8	17.8%	11%	.	iM_Zhong
39	CM074202.1	19000001	21000000	BgiMline_000808	BgiMline_000893	75	12	7	16%	9.3%	.	iM_Zhong
40	CM074202.1	19500001	21500000	BgiMline_000824	BgiMline_000911	76	8	4	10.5%	5.3%	.	iM_Zhong
41	CM074202.1	20000001	22000000	BgiMline_000854	BgiMline_000933	72	9	4	12.5%	5.6%	.	iM_Zhong
42	CM074202.1	20500001	22500000	BgiMline_000873	BgiMline_000959	77	12	6	15.6%	7.8%	.	iM_Zhong
43	CM074202.1	21000001	23000000	BgiMline_000895	BgiMline_000980	79	16	5	20.3%	6.3%	.	iM_Zhong
44	CM074202.1	21500001	23500000	BgiMline_000913	BgiMline_001000	80	19	6	23.7%	7.5%	.	iM_Zhong
45	CM074202.1	22000001	24000000	BgiMline_000934	BgiMline_001019	81	22	10	27.2%	12.3%	.	iM_Zhong
46	CM074202.1	22500001	24500000	BgiMline_000960	BgiMline_001042	80	19	9	23.7%	11.3%	.	iM_Zhong
47	CM074202.1	23000001	25000000	BgiMline_000981	BgiMline_001070	86	12	7	14%	8.1%	.	iM_Zhong
48	CM074202.1	23500001	25500000	BgiMline_001000	BgiMline_001092	91	18	7	19.8%	7.7%	.	iM_Zhong
49	CM074202.1	24000001	26000000	BgiMline_001020	BgiMline_001118	96	17	6	17.7%	6.2%	.	iM_Zhong
50	CM074202.1	24500001	26500000	BgiMline_001043	BgiMline_001142	97	20	7	20.6%	7.2%	.	iM_Zhong
51	CM074202.1	25000001	27000000	BgiMline_001071	BgiMline_001157	81	22	10	27.2%	12.3%	.	iM_Zhong
52	CM074202.1	25500001	27500000	BgiMline_001093	BgiMline_001188	84	19	10	22.6%	11.9%	.	iM_Zhong
53	CM074202.1	26000001	28000000	BgiMline_001119	BgiMline_001198	69	16	7	23.2%	10.1%	.	iM_Zhong
54	CM074202.1	26500001	28500000	BgiMline_001142	BgiMline_001218	62	16	7	25.8%	11.3%	.	iM_Zhong
55	CM074202.1	27000001	29000000	BgiMline_001157	BgiMline_001241	69	14	5	20.3%	7.2%	.	iM_Zhong
56	CM074202.1	27500001	29500000	BgiMline_001189	BgiMline_001265	66	15	5	22.7%	7.6%	.	iM_Zhong
57	CM074202.1	28000001	30000000	BgiMline_001202	BgiMline_001284	75	15	5	20%	6.7%	.	iM_Zhong
58	CM074202.1	28500001	30500000	BgiMline_001220	BgiMline_001299	75	12	3	16%	4%	.	iM_Zhong
59	CM074202.1	29000001	31000000	BgiMline_001241	BgiMline_001321	77	13	4	16.9%	5.2%	.	iM_Zhong
60	CM074202.1	29500001	31500000	BgiMline_001265	BgiMline_001343	69	9	3	13%	4.3%	.	iM_Zhong
61	CM074202.1	30000001	32000000	BgiMline_001284	BgiMline_001365	69	10	3	14.5%	4.3%	.	iM_Zhong
62	CM074202.1	30500001	32500000	BgiMline_001300	BgiMline_001391	73	11	4	15.1%	5.5%	.	iM_Zhong
63	CM074202.1	31000001	33000000	BgiMline_001322	BgiMline_001415	73	12	6	16.4%	8.2%	.	iM_Zhong
64	CM074202.1	31500001	33500000	BgiMline_001344	BgiMline_001431	72	11	6	15.3%	8.3%	.	iM_Zhong
65	CM074202.1	32000001	34000000	BgiMline_001365	BgiMline_001450	73	10	7	13.7%	9.6%	.	iM_Zhong
66	CM074202.1	32500001	34500000	BgiMline_001392	BgiMline_001469	71	12	8	16.9%	11.3%	.	iM_Zhong
67	CM074202.1	33000001	35000000	BgiMline_001416	BgiMline_001492	70	11	7	15.7%	10%	.	iM_Zhong
68	CM074202.1	33500001	35500000	BgiMline_001431	BgiMline_001512	77	17	7	22.1%	9.1%	.	iM_Zhong
69	CM074202.1	34000001	36000000	BgiMline_001451	BgiMline_001537	82	19	7	23.2%	8.5%	.	iM_Zhong
70	CM074202.1	34500001	36500000	BgiMline_001471	BgiMline_001565	89	18	6	20.2%	6.7%	.	iM_Zhong
71	CM074202.1	35000001	37000000	BgiMline_001493	BgiMline_001586	91	18	5	19.8%	5.5%	.	iM_Zhong
72	CM074202.1	35500001	37500000	BgiMline_001512	BgiMline_001607	93	13	5	14%	5.4%	.	iM_Zhong
73	CM074202.1	36000001	38000000	BgiMline_001538	BgiMline_001625	83	14	7	16.9%	8.4%	.	iM_Zhong
74	CM074202.1	36500001	38500000	BgiMline_001566	BgiMline_001649	80	13	7	16.3%	8.7%	.	iM_Zhong
75	CM074202.1	37000001	39000000	BgiMline_001587	BgiMline_001675	86	13	7	15.1%	8.1%	.	iM_Zhong
76	CM074202.1	37500001	39500000	BgiMline_001608	BgiMline_001701	91	17	6	18.7%	6.6%	.	iM_Zhong
77	CM074202.1	38000001	40000000	BgiMline_001626	BgiMline_001721	95	13	2	13.7%	2.1%	.	iM_Zhong
78	CM074202.1	38500001	40500000	BgiMline_001650	BgiMline_001742	93	14	3	15.1%	3.2%	.	iM_Zhong
79	CM074202.1	39000001	41000000	BgiMline_001676	BgiMline_001755	79	14	2	17.7%	2.5%	.	iM_Zhong
80	CM074202.1	39500001	41500000	BgiMline_001701	BgiMline_001772	70	10	2	14.3%	2.9%	.	iM_Zhong
81	CM074202.1	40000001	42000000	BgiMline_001721	BgiMline_001778	56	10	2	17.9%	3.6%	.	iM_Zhong
82	CM074202.1	40500001	42500000	BgiMline_001742	BgiMline_001790	47	13	0	27.7%	0%	.	iM_Zhong
83	CM074202.1	41000001	43000000	BgiMline_001756	BgiMline_001798	42	13	1	31%	2.4%	.	iM_Zhong
84	CM074202.1	41500001	43500000	BgiMline_001772	BgiMline_001823	52	15	3	28.8%	5.8%	.	iM_Zhong
85	CM074202.1	42000001	44000000	BgiMline_001779	BgiMline_001853	75	20	5	26.7%	6.7%	.	iM_Zhong
86	CM074202.1	42500001	44500000	BgiMline_001791	BgiMline_001884	93	16	5	17.2%	5.4%	.	iM_Zhong
87	CM074202.1	43000001	45000000	BgiMline_001799	BgiMline_001924	120	18	5	15%	4.2%	.	iM_Zhong
88	CM074202.1	43500001	45500000	BgiMline_001824	BgiMline_001952	121	18	4	14.9%	3.3%	.	iM_Zhong
89	CM074202.1	44000001	46000000	BgiMline_001854	BgiMline_001974	113	11	2	9.7%	1.8%	.	iM_Zhong
90	CM074202.1	44500001	46500000	BgiMline_001885	BgiMline_001996	104	14	3	13.5%	2.9%	.	iM_Zhong
