CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST	Significance at p = 0.05
BgChr_1	90001	100000	1	0.0157342	0.0157342	NO
BgChr_1	190001	200000	1	0.0170759	0.0170759	NO
BgChr_1	195001	205000	1	0.0170759	0.0170759	NO
BgChr_1	215001	225000	1	0.124678	0.124678	NO
BgChr_1	220001	230000	1	0.124678	0.124678	NO
BgChr_1	230001	240000	3	0.006005	0.00549439	NO
BgChr_1	235001	245000	4	0.00357905	0.0028056	NO
BgChr_1	285001	295000	2	0.00310219	0.00709613	NO
BgChr_1	1160001	1170000	206	0.00235186	0.00207607	NO
BgChr_1	1165001	1175000	184	0.0206736	0.0205048	NO
BgChr_1	1170001	1180000	240	0.019377	0.0191482	NO
BgChr_1	1175001	1185000	229	0.0175218	0.0167171	NO
BgChr_1	1180001	1190000	217	0.0165883	0.0154015	NO
BgChr_1	1185001	1195000	245	0.0162082	0.0154236	NO
BgChr_1	1190001	1200000	244	0.0167966	0.01599	NO
BgChr_1	1195001	1205000	258	0.0139198	0.0131319	NO
BgChr_1	1200001	1210000	289	0.013364	0.0128002	NO
BgChr_1	1205001	1215000	282	0.0195736	0.0191141	NO
BgChr_1	1210001	1220000	267	0.0173133	0.0164758	NO
BgChr_1	1215001	1225000	244	0.0112299	0.0103718	NO
BgChr_1	1220001	1230000	217	0.0189093	0.0186972	NO
BgChr_1	1225001	1235000	223	0.0216563	0.0214432	NO
BgChr_1	1230001	1240000	250	0.0182744	0.0180997	NO
BgChr_1	1235001	1245000	277	0.0184684	0.0183125	NO
BgChr_1	1240001	1250000	199	0.016885	0.0165771	NO
BgChr_1	1245001	1255000	153	0.0126455	0.0120798	NO
BgChr_1	1250001	1260000	202	0.0164881	0.016088	NO
BgChr_1	1255001	1265000	210	0.0187663	0.0185845	NO
BgChr_1	1260001	1270000	184	0.0125224	0.0119372	NO
BgChr_1	1265001	1275000	197	0.00897737	0.00824748	NO
BgChr_1	1270001	1280000	249	0.0147191	0.0142222	NO
BgChr_1	1275001	1285000	234	0.0177152	0.0172602	NO
BgChr_1	1280001	1290000	270	0.0203722	0.0206871	NO
BgChr_1	1285001	1295000	292	0.019081	0.019443	NO
BgChr_1	1290001	1300000	239	0.0176231	0.0174954	NO
BgChr_1	1295001	1305000	150	0.0199613	0.019887	NO
BgChr_1	1300001	1310000	186	0.0193899	0.019289	NO
BgChr_1	1305001	1315000	261	0.0157506	0.0156267	NO
BgChr_1	1310001	1320000	215	0.0124356	0.0119755	NO
BgChr_1	1315001	1325000	200	0.0203733	0.0197822	NO
BgChr_1	1320001	1330000	229	0.0175476	0.0169188	NO
BgChr_1	1325001	1335000	256	0.0144028	0.0138713	NO
BgChr_1	1330001	1340000	238	0.0181017	0.0179025	NO
BgChr_1	1335001	1345000	187	0.0217371	0.0218491	NO
BgChr_1	1340001	1350000	203	0.0211584	0.0211137	NO
BgChr_1	1345001	1355000	211	0.0221892	0.0218842	NO
BgChr_1	1350001	1360000	182	0.0215128	0.0211292	NO
BgChr_1	1355001	1365000	217	0.0208441	0.0207862	NO
BgChr_1	1360001	1370000	155	0.0259639	0.0263902	NO
BgChr_1	1365001	1375000	111	0.012852	0.0123408	NO
BgChr_1	1370001	1380000	167	0.0108921	0.0103873	NO
BgChr_1	1375001	1385000	174	0.0163181	0.0162487	NO
BgChr_1	1380001	1390000	235	0.0206733	0.0206228	NO
BgChr_1	1385001	1395000	312	0.0208645	0.0206512	NO
BgChr_1	1390001	1400000	233	0.0179686	0.0176933	NO
BgChr_1	1395001	1405000	184	0.0231337	0.0225855	NO
BgChr_1	1400001	1410000	162	0.0255735	0.0237949	NO
BgChr_1	1405001	1415000	120	0.0161803	0.0141614	NO
BgChr_1	1410001	1420000	130	0.0151403	0.0139403	NO
BgChr_1	1415001	1425000	120	0.00814768	0.00671284	NO
BgChr_1	1425001	1435000	175	0.0150865	0.014173	NO
BgChr_1	1430001	1440000	256	0.014144	0.0129315	NO
BgChr_1	1435001	1445000	239	0.0102197	0.00911825	NO
BgChr_1	1440001	1450000	233	0.0127007	0.0122768	NO
BgChr_1	1445001	1455000	247	0.0121313	0.0117644	NO
BgChr_1	1450001	1460000	255	0.00835817	0.00775727	NO
BgChr_1	1455001	1465000	192	0.0296722	0.0277079	NO
BgChr_1	1460001	1470000	208	0.0263819	0.0241388	NO
BgChr_1	1465001	1475000	255	0.00998876	0.00944706	NO
BgChr_1	1470001	1480000	189	0.0189918	0.0189293	NO
BgChr_1	1475001	1485000	67	0.0228548	0.0230109	NO
BgChr_1	1480001	1490000	116	0.0132688	0.0129377	NO
BgChr_1	1485001	1495000	218	0.0179111	0.0176432	NO
BgChr_1	1490001	1500000	176	0.0177936	0.0171762	NO
BgChr_1	1495001	1505000	80	0.00776103	0.0068326	NO
BgChr_1	1500001	1510000	76	0.00168591	0.00071704	NO
BgChr_1	1505001	1515000	128	0.0132715	0.012484	NO
BgChr_1	1510001	1520000	164	0.0209238	0.0208614	NO
BgChr_1	1515001	1525000	168	0.0168301	0.0166381	NO
BgChr_1	1520001	1530000	147	0.0352015	0.0336207	NO
BgChr_1	1525001	1535000	207	0.0260232	0.024312	NO
BgChr_1	1530001	1540000	221	0.00939375	0.00874155	NO
BgChr_1	1535001	1545000	256	0.0109102	0.0104329	NO
BgChr_1	1540001	1550000	247	0.0149467	0.0144225	NO
BgChr_1	1545001	1555000	147	0.0321059	0.030756	NO
BgChr_1	1550001	1560000	109	0.0323178	0.0307305	NO
BgChr_1	1555001	1565000	176	0.0220362	0.0217579	NO
BgChr_1	1560001	1570000	248	0.0264075	0.0258841	NO
BgChr_1	1565001	1575000	171	0.0242723	0.023297	NO
BgChr_1	1570001	1580000	109	0.0120392	0.0109697	NO
